delay	perdida	size	tiempo	iteraciones
0.00	0.20	100	0.0073669672	50
0.00	0.20	200	0.0070020914	50
0.00	0.20	300	0.0068744993	50
0.00	0.20	400	0.0070477104	50
0.00	0.20	500	0.0069135571	50
0.00	0.20	600	0.0066594839	50
0.00	0.20	700	0.0070887518	50
0.00	0.20	800	0.0065672684	50
0.00	0.20	900	0.0067345667	50
0.00	0.20	1000	0.0067279339	50
0.00	0.20	1100	0.0108101511	50
0.00	0.20	1200	0.0104221773	50
0.00	0.20	1300	0.0112371397	50
0.00	0.20	1400	0.0115512228	50
0.00	0.20	1500	0.0112321663	50
0.00	0.20	1600	0.0117730379	50
0.00	0.20	1700	0.0112279463	50
0.00	0.20	1800	0.0109608698	50
0.00	0.20	1900	0.0118755960	50
0.00	0.20	2000	0.0114307785	50
0.00	0.20	2100	0.0153506851	50
0.00	0.20	2200	0.0159971571	50
0.00	0.20	2300	0.0160207891	50
0.00	0.20	2400	0.0168256617	50
0.00	0.20	2500	0.0163753891	50
0.00	0.20	2600	0.0162166929	50
0.00	0.20	2700	0.0163739538	50
0.00	0.20	2800	0.0157547283	50
0.00	0.20	2900	0.0165991306	50
0.00	0.20	3000	0.0167459631	50
0.00	0.20	3100	0.0198656034	50
0.00	0.20	3200	0.0200059891	50
0.00	0.20	3300	0.0209940052	50
0.00	0.20	3400	0.0216371393	50
0.00	0.20	3500	0.0207323694	50
0.00	0.20	3600	0.0209169102	50
0.00	0.20	3700	0.0201064777	50
0.00	0.20	3800	0.0209665728	50
0.00	0.20	3900	0.0209201813	50
0.00	0.20	4000	0.0211255169	50
0.00	0.20	4100	0.0239773083	50
0.00	0.20	4200	0.0245760012	50
0.00	0.20	4300	0.0250968599	50
0.00	0.20	4400	0.0252183628	50
0.00	0.20	4500	0.0257272005	50
0.00	0.20	4600	0.0258242464	50
0.00	0.20	4700	0.0234125376	50
0.00	0.20	4800	0.0266741610	50
0.00	0.20	4900	0.0252995491	50
