delay	perdida	size	timeToServer	totalTime
0	0.10000	50	0.0066282988	0.0069213748
0	0.10000	100	0.0072001505	0.0072677946
0	0.10000	150	0.0077600312	0.0081349277
0	0.10000	200	0.0080741048	0.0079214287
0	0.10000	250	0.0077020288	0.0079033399
0	0.10000	300	0.0082676148	0.0082563758
0	0.10000	350	0.0078300118	0.0077981186
0	0.10000	400	0.0077636695	0.0079106617
0	0.10000	450	0.0077875757	0.0079200149
0	0.10000	500	0.0079934502	0.0082264113
0	0.10000	550	0.0075898194	0.0077039003
0	0.10000	600	0.0078361416	0.0080636382
0	0.10000	650	0.0080246735	0.0084540224
0	0.10000	700	0.0077575707	0.0081610036
0	0.10000	750	0.0075898218	0.0076806355
0	0.10000	800	0.0079383016	0.0084439349
0	0.10000	850	0.0086362362	0.0086577988
0	0.10000	900	0.0086572218	0.0087307286
0	0.10000	950	0.0080248213	0.0080676341
0	0.10000	1000	0.0083102131	0.0083713865
