delay	perdida	size	tiempo	iteraciones
0.05	0.00	100	0.6234789753	50
0.05	0.00	200	0.6365380859	50
0.05	0.00	300	0.6557082367	50
0.05	0.00	400	0.6263920212	50
0.05	0.00	500	0.5755919266	50
0.05	0.00	600	0.5761062574	50
0.05	0.00	700	0.5860192490	50
0.05	0.00	800	0.5659077263	50
0.05	0.00	900	0.5657093096	50
0.05	0.00	1000	0.5645694971	50
0.05	0.00	1100	0.6228459597	50
0.05	0.00	1200	0.6342183685	50
0.05	0.00	1300	0.6360705805	50
0.05	0.00	1400	0.6353842545	50
0.05	0.00	1500	0.6456359911	50
0.05	0.00	1600	0.6459693003	50
0.05	0.00	1700	0.6561432886	50
0.05	0.00	1800	0.6462574911	50
0.05	0.00	1900	0.6566961622	50
0.05	0.00	2000	0.6460232687	50
0.05	0.00	2100	0.7146247959	50
0.05	0.00	2200	0.7351286077	50
0.05	0.00	2300	0.7149254131	50
0.05	0.00	2400	0.7157843637	50
0.05	0.00	2500	0.6950879383	50
0.05	0.00	2600	0.7257863426	50
0.05	0.00	2700	0.7059203100	50
0.05	0.00	2800	0.7458276701	50
0.05	0.00	2900	0.7155613852	50
0.05	0.00	3000	0.7257750034	50
0.05	0.00	3100	0.7952372789	50
0.05	0.00	3200	0.7640657711	50
0.05	0.00	3300	0.7550013208	50
0.05	0.00	3400	0.7744686556	50
0.05	0.00	3500	0.7853010464	50
0.05	0.00	3600	0.7553583622	50
0.05	0.00	3700	0.7547826195	50
0.05	0.00	3800	0.7750876045	50
0.05	0.00	3900	0.7663105917	50
0.05	0.00	4000	0.7658569002	50
0.05	0.00	4100	0.8135471344	50
0.05	0.00	4200	0.8245307112	50
0.05	0.00	4300	0.8243647814	50
0.05	0.00	4400	0.8146080208	50
0.05	0.00	4500	0.8453659439	50
0.05	0.00	4600	0.8246796131	50
0.05	0.00	4700	0.8256891298	50
0.05	0.00	4800	0.8352721357	50
0.05	0.00	4900	0.8254153252	50
