delay	perdida	size	tiempo	iteraciones
0.10	0.00	125	0.2132460546	50
0.10	0.00	250	0.2133744955	50
0.10	0.00	375	0.2137505388	50
0.10	0.00	500	0.2137527466	50
0.10	0.00	625	0.2148835468	50
0.10	0.00	750	0.2148732853	50
0.10	0.00	875	0.2157715273	50
0.10	0.00	1000	0.2157471704	50
0.10	0.00	1125	0.3227509212	50
0.10	0.00	1250	0.3230992174	50
0.10	0.00	1375	0.3239111376	50
0.10	0.00	1500	0.3229975796	50
0.10	0.00	1625	0.4083363295	50
0.10	0.00	1750	0.3910511351	50
0.10	0.00	1875	0.4122563648	50
0.10	0.00	2000	0.3917864561	50
0.10	0.00	2125	0.5140496445	50
0.10	0.00	2250	0.5112334490	50
0.10	0.00	2375	0.5009047222	50
0.10	0.00	2500	0.5135007906	50
0.10	0.00	2625	0.6101531410	50
0.10	0.00	2750	0.6095025349	50
0.10	0.00	2875	0.6134033489	50
0.10	0.00	3000	0.6112489176	50
0.10	0.00	3125	0.7217358589	50
0.10	0.00	3250	0.7200740719	50
0.10	0.00	3375	0.7282736492	50
0.10	0.00	3500	0.7184900713	50
0.10	0.00	3625	0.8395372295	50
0.10	0.00	3750	0.8174076176	50
0.10	0.00	3875	0.8321905947	50
0.10	0.00	4000	0.8152402210	50
0.10	0.00	4125	0.9376762438	50
0.10	0.00	4250	0.9282934999	50
0.10	0.00	4375	0.9268741465	50
0.10	0.00	4500	0.9421750164	50
