delay	perdida	size	tiempo	iteraciones
0.00	0.40	100	0.0060097075	50
0.00	0.40	200	0.0065293598	50
0.00	0.40	300	0.0064030552	50
0.00	0.40	400	0.0063953638	50
0.00	0.40	500	0.0066072893	50
0.00	0.40	600	0.0064261913	50
0.00	0.40	700	0.0065609741	50
0.00	0.40	800	0.0063700008	50
0.00	0.40	900	0.0063938570	50
0.00	0.40	1000	0.0062429810	50
0.00	0.40	1100	0.0101118803	50
0.00	0.40	1200	0.0105353832	50
0.00	0.40	1300	0.0110756922	50
0.00	0.40	1400	0.0111342907	50
0.00	0.40	1500	0.0105819988	50
0.00	0.40	1600	0.0103912687	50
0.00	0.40	1700	0.0114215851	50
0.00	0.40	1800	0.0100478983	50
0.00	0.40	1900	0.0109766150	50
0.00	0.40	2000	0.0108491945	50
0.00	0.40	2100	0.0148347521	50
0.00	0.40	2200	0.0139520741	50
0.00	0.40	2300	0.0134462690	50
0.00	0.40	2400	0.0154892397	50
0.00	0.40	2500	0.0149199057	50
0.00	0.40	2600	0.0147662592	50
0.00	0.40	2700	0.0156197929	50
0.00	0.40	2800	0.0144177818	50
0.00	0.40	2900	0.0152285004	50
0.00	0.40	3000	0.0158884382	50
0.00	0.40	3100	0.0193889904	50
0.00	0.40	3200	0.0199838829	50
0.00	0.40	3300	0.0201764154	50
0.00	0.40	3400	0.0201907730	50
0.00	0.40	3500	0.0204465771	50
0.00	0.40	3600	0.0189631891	50
0.00	0.40	3700	0.0204788923	50
0.00	0.40	3800	0.0198371792	50
0.00	0.40	3900	0.0199514103	50
0.00	0.40	4000	0.0200186777	50
0.00	0.40	4100	0.0243309879	50
0.00	0.40	4200	0.0226061010	50
0.00	0.40	4300	0.0224641180	50
0.00	0.40	4400	0.0213690853	50
0.00	0.40	4500	0.0250975990	50
0.00	0.40	4600	0.0253344154	50
0.00	0.40	4700	0.0235631514	50
0.00	0.40	4800	0.0239431906	50
0.00	0.40	4900	0.0244689178	50
