delay	perdida	size	timeToServer	totalTime
0	0.20000	50	0.0076355624	0.0077734661
0	0.20000	100	0.0075279188	0.0075754404
0	0.20000	150	0.0077586484	0.0081320286
0	0.20000	200	0.0075875783	0.0078802824
0	0.20000	250	0.0074791670	0.0077998209
0	0.20000	300	0.0078535032	0.0080925441
0	0.20000	350	0.0076783514	0.0077862763
0	0.20000	400	0.0072856259	0.0076208496
0	0.20000	450	0.0078349948	0.0077777243
0	0.20000	500	0.0078694725	0.0081130743
0	0.20000	550	0.0079055047	0.0082735658
0	0.20000	600	0.0073790216	0.0078607607
0	0.20000	650	0.0078587341	0.0084520388
0	0.20000	700	0.0077769947	0.0079265952
0	0.20000	750	0.0077666020	0.0079938507
0	0.20000	800	0.0073939133	0.0079986620
0	0.20000	850	0.0079439211	0.0082507443
0	0.20000	900	0.0082446623	0.0083729386
0	0.20000	950	0.0078931046	0.0082066345
0	0.20000	1000	0.0078181672	0.0082626009
