delay	perdida	size	tiempo	iteraciones
0.00	0.50	100	0.0077091551	50
0.00	0.50	200	0.0065370512	50
0.00	0.50	300	0.0060675097	50
0.00	0.50	400	0.0062257957	50
0.00	0.50	500	0.0064548111	50
0.00	0.50	600	0.0068519068	50
0.00	0.50	700	0.0072532368	50
0.00	0.50	800	0.0069070768	50
0.00	0.50	900	0.0064006281	50
0.00	0.50	1000	0.0066017818	50
0.00	0.50	1100	0.0106674767	50
0.00	0.50	1200	0.0113883972	50
0.00	0.50	1300	0.0106519175	50
0.00	0.50	1400	0.0108977413	50
0.00	0.50	1500	0.0117397833	50
0.00	0.50	1600	0.0111291981	50
0.00	0.50	1700	0.0115022802	50
0.00	0.50	1800	0.0112579775	50
0.00	0.50	1900	0.0105881643	50
0.00	0.50	2000	0.0122588825	50
0.00	0.50	2100	0.0152419043	50
0.00	0.50	2200	0.0148302412	50
0.00	0.50	2300	0.0164212084	50
0.00	0.50	2400	0.0152933979	50
0.00	0.50	2500	0.0163941956	50
0.00	0.50	2600	0.0164115763	50
0.00	0.50	2700	0.0158889532	50
0.00	0.50	2800	0.0164562082	50
0.00	0.50	2900	0.0156428909	50
0.00	0.50	3000	0.0165428400	50
0.00	0.50	3100	0.0194902611	50
0.00	0.50	3200	0.0200153494	50
0.00	0.50	3300	0.0198511267	50
0.00	0.50	3400	0.0198038435	50
0.00	0.50	3500	0.0197723532	50
0.00	0.50	3600	0.0203706837	50
0.00	0.50	3700	0.0200698709	50
0.00	0.50	3800	0.0199000359	50
0.00	0.50	3900	0.0204171848	50
0.00	0.50	4000	0.0194986820	50
0.00	0.50	4100	0.0242886591	50
0.00	0.50	4200	0.0248472452	50
0.00	0.50	4300	0.0239916897	50
0.00	0.50	4400	0.0251664162	50
0.00	0.50	4500	0.0246488047	50
0.00	0.50	4600	0.0241406441	50
0.00	0.50	4700	0.0246281385	50
0.00	0.50	4800	0.0246655798	50
0.00	0.50	4900	0.0258989239	50
