delay	perdida	size	timeToServer	totalTime
0	0.90000	50	0.0068501425	0.0071998715
0	0.90000	100	0.0075987506	0.0076177025
0	0.90000	150	0.0071409702	0.0073580122
0	0.90000	200	0.0073472357	0.0074822140
0	0.90000	250	0.0073256898	0.0076361752
0	0.90000	300	0.0073149180	0.0076779985
0	0.90000	350	0.0073054957	0.0075794196
0	0.90000	400	0.0072498012	0.0072311926
0	0.90000	450	0.0075257587	0.0075572848
0	0.90000	500	0.0072855854	0.0074304128
0	0.90000	550	0.0074465275	0.0078132725
0	0.90000	600	0.0076162863	0.0080302882
0	0.90000	650	0.0072551179	0.0074308038
0	0.90000	700	0.0075246882	0.0076172447
0	0.90000	750	0.0075005412	0.0076875877
0	0.90000	800	0.0075911975	0.0077216816
0	0.90000	850	0.0074753881	0.0077737522
0	0.90000	900	0.0074800491	0.0079883885
0	0.90000	950	0.0076677895	0.0078123927
0	0.90000	1000	0.0076467013	0.0077901244
