delay	perdida	size	timeToServer	totalTime
0	0.40000	50	0.0079211998	0.0079273343
0	0.40000	100	0.0072254729	0.0074424696
0	0.40000	150	0.0076242256	0.0076963854
0	0.40000	200	0.0075139379	0.0080625963
0	0.40000	250	0.0075388741	0.0077799940
0	0.40000	300	0.0071941710	0.0075976992
0	0.40000	350	0.0078209662	0.0082268214
0	0.40000	400	0.0080749536	0.0081013227
0	0.40000	450	0.0076098800	0.0077789068
0	0.40000	500	0.0075356865	0.0076387668
0	0.40000	550	0.0076888132	0.0079048419
0	0.40000	600	0.0075828791	0.0077164364
0	0.40000	650	0.0075198817	0.0077972484
0	0.40000	700	0.0079565167	0.0082869363
0	0.40000	750	0.0079065919	0.0083635259
0	0.40000	800	0.0076948214	0.0078868890
0	0.40000	850	0.0076431298	0.0080779910
0	0.40000	900	0.0083019662	0.0085200191
0	0.40000	950	0.0076539040	0.0084389782
0	0.40000	1000	0.0078799438	0.0083428049
