delay	perdida	size	tiempo	iteraciones
0.05	0.00	125	0.1096719933	50
0.05	0.00	250	0.1099008942	50
0.05	0.00	375	0.1094435406	50
0.05	0.00	500	0.1122521782	50
0.05	0.00	625	0.1156319904	50
0.05	0.00	750	0.1152683163	50
0.05	0.00	875	0.1154325581	50
0.05	0.00	1000	0.1154480171	50
0.05	0.00	1125	0.1727591705	50
0.05	0.00	1250	0.1731743336	50
0.05	0.00	1375	0.1728416920	50
0.05	0.00	1500	0.1741817284	50
0.05	0.00	1625	0.2199959517	50
0.05	0.00	1750	0.2173879242	50
0.05	0.00	1875	0.2115691280	50
0.05	0.00	2000	0.2230553579	50
0.05	0.00	2125	0.2736388969	50
0.05	0.00	2250	0.2720576191	50
0.05	0.00	2375	0.2682895517	50
0.05	0.00	2500	0.2740641022	50
0.05	0.00	2625	0.3242107439	50
0.05	0.00	2750	0.3229365063	50
0.05	0.00	2875	0.3268232584	50
0.05	0.00	3000	0.3247947407	50
0.05	0.00	3125	0.3809719133	50
0.05	0.00	3250	0.3786364460	50
0.05	0.00	3375	0.3870694494	50
0.05	0.00	3500	0.3840803766	50
0.05	0.00	3625	0.4383540344	50
0.05	0.00	3750	0.4413330650	50
0.05	0.00	3875	0.4452466297	50
0.05	0.00	4000	0.4346716309	50
0.05	0.00	4125	0.5020610714	50
0.05	0.00	4250	0.5035965729	50
0.05	0.00	4375	0.4983659983	50
0.05	0.00	4500	0.5060179615	50
