delay	perdida	size	timeToServer	totalTime
0	0.80000	50	0.0071309900	0.0072594094
0	0.80000	100	0.0071160412	0.0073563385
0	0.80000	150	0.0072600460	0.0077989078
0	0.80000	200	0.0073352528	0.0076095438
0	0.80000	250	0.0076771355	0.0076141477
0	0.80000	300	0.0071477199	0.0074927759
0	0.80000	350	0.0073727346	0.0075549960
0	0.80000	400	0.0072347426	0.0073773336
0	0.80000	450	0.0074504447	0.0076707673
0	0.80000	500	0.0075148344	0.0075711846
0	0.80000	550	0.0073720097	0.0076431990
0	0.80000	600	0.0072676682	0.0074553680
0	0.80000	650	0.0072309518	0.0075747180
0	0.80000	700	0.0079271460	0.0082128382
0	0.80000	750	0.0072727656	0.0077353334
0	0.80000	800	0.0074079800	0.0079482126
0	0.80000	850	0.0076175427	0.0077550554
0	0.80000	900	0.0077965498	0.0081753540
0	0.80000	950	0.0074910212	0.0076885509
0	0.80000	1000	0.0078863502	0.0078523755
