delay	perdida	size	timeToServer	totalTime
0	0.30000	50	0.0073716092	0.0074833608
0	0.30000	100	0.0079653192	0.0080641198
0	0.30000	150	0.0075403905	0.0074356198
0	0.30000	200	0.0076953435	0.0079948592
0	0.30000	250	0.0075309610	0.0079599714
0	0.30000	300	0.0077088308	0.0077260756
0	0.30000	350	0.0080454469	0.0078813887
0	0.30000	400	0.0077601886	0.0079258537
0	0.30000	450	0.0077404928	0.0078081059
0	0.30000	500	0.0082902622	0.0086274028
0	0.30000	550	0.0077791023	0.0079014540
0	0.30000	600	0.0077552009	0.0079419994
0	0.30000	650	0.0077940702	0.0078888726
0	0.30000	700	0.0078120256	0.0081837440
0	0.30000	750	0.0081176162	0.0084153128
0	0.30000	800	0.0085057807	0.0083102179
0	0.30000	850	0.0084198809	0.0084040523
0	0.30000	900	0.0084067059	0.0085248733
0	0.30000	950	0.0073843551	0.0076930952
0	0.30000	1000	0.0079027677	0.0079250431
