delay	perdida	size	tiempo	iteraciones
0.00	0.20	125	0.0059683418	50
0.00	0.20	250	0.0059885311	50
0.00	0.20	375	0.0060136414	50
0.00	0.20	500	0.0068334818	50
0.00	0.20	625	0.0069748449	50
0.00	0.20	750	0.0070065975	50
0.00	0.20	875	0.0070141459	50
0.00	0.20	1000	0.0070919180	50
0.00	0.20	1125	0.0105729008	50
0.00	0.20	1250	0.0103010082	50
0.00	0.20	1375	0.0101777935	50
0.00	0.20	1500	0.0105035019	50
0.00	0.20	1625	0.0126443529	50
0.00	0.20	1750	0.0132676458	50
0.00	0.20	1875	0.0133286762	50
0.00	0.20	2000	0.0126367283	50
0.00	0.20	2125	0.0153967667	50
0.00	0.20	2250	0.0157351780	50
0.00	0.20	2375	0.0158295345	50
0.00	0.20	2500	0.0161321068	50
0.00	0.20	2625	0.0183259630	50
0.00	0.20	2750	0.0186437702	50
0.00	0.20	2875	0.0183578444	50
0.00	0.20	3000	0.0181098080	50
0.00	0.20	3125	0.0206678867	50
0.00	0.20	3250	0.0210107279	50
0.00	0.20	3375	0.0203680801	50
0.00	0.20	3500	0.0208221197	50
0.00	0.20	3625	0.0245694828	50
0.00	0.20	3750	0.0236228657	50
0.00	0.20	3875	0.0232776403	50
0.00	0.20	4000	0.0238643694	50
0.00	0.20	4125	0.0265367460	50
0.00	0.20	4250	0.0260278416	50
0.00	0.20	4375	0.0266319370	50
0.00	0.20	4500	0.0260495090	50
