delay	perdida	size	timeToServer	totalTime
0	0.50000	50	0.0076216412	0.0078061104
0	0.50000	100	0.0071025991	0.0073671603
0	0.50000	150	0.0072274256	0.0076078200
0	0.50000	200	0.0077570438	0.0077790356
0	0.50000	250	0.0073757267	0.0076282072
0	0.50000	300	0.0071811271	0.0073773980
0	0.50000	350	0.0071836209	0.0074692893
0	0.50000	400	0.0075613451	0.0077897501
0	0.50000	450	0.0076314831	0.0076789165
0	0.50000	500	0.0079381967	0.0079399586
0	0.50000	550	0.0077447152	0.0080409479
0	0.50000	600	0.0079900789	0.0080942464
0	0.50000	650	0.0077338147	0.0077145267
0	0.50000	700	0.0076763201	0.0077490211
0	0.50000	750	0.0080204344	0.0081632590
0	0.50000	800	0.0077380347	0.0080139971
0	0.50000	850	0.0078382301	0.0078037095
0	0.50000	900	0.0084256673	0.0084721756
0	0.50000	950	0.0077958584	0.0079741526
0	0.50000	1000	0.0077797627	0.0078657484
