delay	perdida	size	tiempo	iteraciones
0.00	0.10	100	0.0074298811	50
0.00	0.10	200	0.0068680477	50
0.00	0.10	300	0.0062745905	50
0.00	0.10	400	0.0065537739	50
0.00	0.10	500	0.0069063997	50
0.00	0.10	600	0.0074564505	50
0.00	0.10	700	0.0074365807	50
0.00	0.10	800	0.0070914173	50
0.00	0.10	900	0.0067517233	50
0.00	0.10	1000	0.0075315332	50
0.00	0.10	1100	0.0118161249	50
0.00	0.10	1200	0.0118710852	50
0.00	0.10	1300	0.0116651201	50
0.00	0.10	1400	0.0114747667	50
0.00	0.10	1500	0.0115889120	50
0.00	0.10	1600	0.0128555536	50
0.00	0.10	1700	0.0115487289	50
0.00	0.10	1800	0.0119251394	50
0.00	0.10	1900	0.0122798681	50
0.00	0.10	2000	0.0117508984	50
0.00	0.10	2100	0.0160241747	50
0.00	0.10	2200	0.0160202980	50
0.00	0.10	2300	0.0151292229	50
0.00	0.10	2400	0.0149167299	50
0.00	0.10	2500	0.0162509823	50
0.00	0.10	2600	0.0155732870	50
0.00	0.10	2700	0.0159268522	50
0.00	0.10	2800	0.0151744461	50
0.00	0.10	2900	0.0158118820	50
0.00	0.10	3000	0.0165718412	50
0.00	0.10	3100	0.0204611921	50
0.00	0.10	3200	0.0198448372	50
0.00	0.10	3300	0.0207928324	50
0.00	0.10	3400	0.0208313417	50
0.00	0.10	3500	0.0204744911	50
0.00	0.10	3600	0.0212512732	50
0.00	0.10	3700	0.0210766506	50
0.00	0.10	3800	0.0209833717	50
0.00	0.10	3900	0.0221251297	50
0.00	0.10	4000	0.0208933830	50
0.00	0.10	4100	0.0255308723	50
0.00	0.10	4200	0.0255534601	50
0.00	0.10	4300	0.0249264240	50
0.00	0.10	4400	0.0241332531	50
0.00	0.10	4500	0.0248512697	50
0.00	0.10	4600	0.0252209187	50
0.00	0.10	4700	0.0252585268	50
0.00	0.10	4800	0.0251440811	50
0.00	0.10	4900	0.0237464571	50
