delay	perdida	size	tiempo	iteraciones
0.00	0.50	125	0.0063268661	50
0.00	0.50	250	0.0061084986	50
0.00	0.50	375	0.0063197947	50
0.00	0.50	500	0.0061461735	50
0.00	0.50	625	0.0063255024	50
0.00	0.50	750	0.0069015455	50
0.00	0.50	875	0.0070276499	50
0.00	0.50	1000	0.0064857578	50
0.00	0.50	1125	0.0100408506	50
0.00	0.50	1250	0.0100612974	50
0.00	0.50	1375	0.0099429798	50
0.00	0.50	1500	0.0102672672	50
0.00	0.50	1625	0.0125705862	50
0.00	0.50	1750	0.0125090218	50
0.00	0.50	1875	0.0122464848	50
0.00	0.50	2000	0.0124191236	50
0.00	0.50	2125	0.0156250811	50
0.00	0.50	2250	0.0151942682	50
0.00	0.50	2375	0.0157749271	50
0.00	0.50	2500	0.0154670620	50
0.00	0.50	2625	0.0192002487	50
0.00	0.50	2750	0.0184718657	50
0.00	0.50	2875	0.0184994316	50
0.00	0.50	3000	0.0183266497	50
0.00	0.50	3125	0.0204920530	50
0.00	0.50	3250	0.0212414360	50
0.00	0.50	3375	0.0208153677	50
0.00	0.50	3500	0.0208788157	50
0.00	0.50	3625	0.0226922083	50
0.00	0.50	3750	0.0234922123	50
0.00	0.50	3875	0.0235424852	50
0.00	0.50	4000	0.0242091799	50
0.00	0.50	4125	0.0260765266	50
0.00	0.50	4250	0.0261681080	50
0.00	0.50	4375	0.0267034960	50
0.00	0.50	4500	0.0255948448	50
