delay	perdida	size	timeToServer	totalTime
0	0.70000	50	0.0073196793	0.0074278426
0	0.70000	100	0.0072692180	0.0076905084
0	0.70000	150	0.0072273421	0.0075971937
0	0.70000	200	0.0075137067	0.0077680421
0	0.70000	250	0.0071976805	0.0075039339
0	0.70000	300	0.0072259641	0.0076828003
0	0.70000	350	0.0074450374	0.0077868986
0	0.70000	400	0.0072387958	0.0075542021
0	0.70000	450	0.0074701214	0.0080006528
0	0.70000	500	0.0075389648	0.0077304244
0	0.70000	550	0.0073496389	0.0076761031
0	0.70000	600	0.0074858737	0.0077618313
0	0.70000	650	0.0073986506	0.0075503206
0	0.70000	700	0.0078321552	0.0078312778
0	0.70000	750	0.0074642682	0.0079461193
0	0.70000	800	0.0076272392	0.0077997828
0	0.70000	850	0.0078730083	0.0082601142
0	0.70000	900	0.0077597523	0.0080452728
0	0.70000	950	0.0080678439	0.0082439661
0	0.70000	1000	0.0079063463	0.0083414221
