delay	perdida	size	tiempo	iteraciones
0.00	0.00	100	0.0054718590	50
0.00	0.00	200	0.0055729246	50
0.00	0.00	300	0.0056248474	50
0.00	0.00	400	0.0059304762	50
0.00	0.00	500	0.0064587116	50
0.00	0.00	600	0.0070576000	50
0.00	0.00	700	0.0070845079	50
0.00	0.00	800	0.0071594095	50
0.00	0.00	900	0.0067973614	50
0.00	0.00	1000	0.0073732948	50
0.00	0.00	1100	0.0116075802	50
0.00	0.00	1200	0.0106380320	50
0.00	0.00	1300	0.0113168001	50
0.00	0.00	1400	0.0113379765	50
0.00	0.00	1500	0.0107785559	50
0.00	0.00	1600	0.0126647854	50
0.00	0.00	1700	0.0126224756	50
0.00	0.00	1800	0.0127443266	50
0.00	0.00	1900	0.0136394072	50
0.00	0.00	2000	0.0126107883	50
0.00	0.00	2100	0.0158704424	50
0.00	0.00	2200	0.0158184052	50
0.00	0.00	2300	0.0161137819	50
0.00	0.00	2400	0.0158622932	50
0.00	0.00	2500	0.0164380932	50
0.00	0.00	2600	0.0196910954	50
0.00	0.00	2700	0.0187015581	50
0.00	0.00	2800	0.0186227465	50
0.00	0.00	2900	0.0191045809	50
0.00	0.00	3000	0.0187910557	50
0.00	0.00	3100	0.0225562477	50
0.00	0.00	3200	0.0218755388	50
0.00	0.00	3300	0.0220921898	50
0.00	0.00	3400	0.0211734343	50
0.00	0.00	3500	0.0213564014	50
0.00	0.00	3600	0.0242509890	50
0.00	0.00	3700	0.0250969362	50
0.00	0.00	3800	0.0238482618	50
0.00	0.00	3900	0.0246320915	50
0.00	0.00	4000	0.0248768950	50
0.00	0.00	4100	0.0270724726	50
0.00	0.00	4200	0.0273212194	50
0.00	0.00	4300	0.0269217348	50
0.00	0.00	4400	0.0273421240	50
0.00	0.00	4500	0.0278848362	50
0.00	0.00	4600	0.0379844809	50
0.00	0.00	4700	0.0308697653	50
0.00	0.00	4800	0.0290294456	50
0.00	0.00	4900	0.0303520203	50
