delay	perdida	size	timeToServer	totalTime
0	1.00000	2100	0.0179317904	0.0179388905
0	1.00000	2200	0.0163506842	0.0165521431
0	1.00000	2300	0.0158033562	0.0156866264
0	1.00000	2400	0.0168183279	0.0170816803
0	1.00000	2500	0.0166003466	0.0170863152
0	1.00000	2600	0.0168590689	0.0169133091
0	1.00000	2700	0.0168972158	0.0172086382
0	1.00000	2800	0.0167582273	0.0167405939
0	1.00000	2900	0.0169619513	0.0173170185
0	1.00000	3000	0.0171495390	0.0173805571
0	1.00000	3100	0.0224556112	0.0225397778
0	1.00000	3200	0.0211927080	0.0214601946
0	1.00000	3300	0.0214387894	0.0217952061
0	1.00000	3400	0.0219073677	0.0220581007
0	1.00000	3500	0.0222089386	0.0225424910
0	1.00000	3600	0.0222043800	0.0223989439
0	1.00000	3700	0.0209548807	0.0209425974
0	1.00000	3800	0.0216228437	0.0217343569
0	1.00000	3900	0.0228686571	0.0230727100
0	1.00000	4000	0.0216515160	0.0218340397
