delay	perdida	size	tiempo	iteraciones
0.02	0.00	100	0.0513253450	50
0.02	0.00	200	0.0516314077	50
0.02	0.00	300	0.0519562864	50
0.02	0.00	400	0.0513738680	50
0.02	0.00	500	0.0523349380	50
0.02	0.00	600	0.0522086668	50
0.02	0.00	700	0.0522001600	50
0.02	0.00	800	0.0518346882	50
0.02	0.00	900	0.0529844046	50
0.02	0.00	1000	0.0524121475	50
0.02	0.00	1100	0.0805021572	50
0.02	0.00	1200	0.0810503960	50
0.02	0.00	1300	0.0793363285	50
0.02	0.00	1400	0.0787876701	50
0.02	0.00	1500	0.0721281290	50
0.02	0.00	1600	0.0695650196	50
0.02	0.00	1700	0.0698568344	50
0.02	0.00	1800	0.0706228065	50
0.02	0.00	1900	0.0765981102	50
0.02	0.00	2000	0.0768596172	50
0.02	0.00	2100	0.1065133619	50
0.02	0.00	2200	0.1066205168	50
0.02	0.00	2300	0.1069185686	50
0.02	0.00	2400	0.1089926338	50
0.02	0.00	2500	0.1088008881	50
0.02	0.00	2600	0.1080442715	50
0.02	0.00	2700	0.0995185328	50
0.02	0.00	2800	0.0962487078	50
0.02	0.00	2900	0.1027780962	50
0.02	0.00	3000	0.1025537109	50
0.02	0.00	3100	0.1338740110	50
0.02	0.00	3200	0.1316857529	50
0.02	0.00	3300	0.1331920004	50
0.02	0.00	3400	0.1332846785	50
0.02	0.00	3500	0.1317619610	50
0.02	0.00	3600	0.1333781385	50
0.02	0.00	3700	0.1348671770	50
0.02	0.00	3800	0.1319185925	50
0.02	0.00	3900	0.1317388010	50
0.02	0.00	4000	0.1324607801	50
0.02	0.00	4100	0.1615415907	50
0.02	0.00	4200	0.1587060738	50
0.02	0.00	4300	0.1449148703	50
0.02	0.00	4400	0.1480660772	50
0.02	0.00	4500	0.1483114004	50
0.02	0.00	4600	0.1509015989	50
0.02	0.00	4700	0.1484073544	50
0.02	0.00	4800	0.1482919884	50
0.02	0.00	4900	0.1483891773	50
