delay	perdida	size	timeToServer	totalTime
0	0.00000	50	0.0065236807	0.0067913389
0	0.00000	100	0.0079314804	0.0080166769
0	0.00000	150	0.0077866030	0.0076798964
0	0.00000	200	0.0081549120	0.0080423117
0	0.00000	250	0.0074398994	0.0077367353
0	0.00000	300	0.0074598742	0.0076391506
0	0.00000	350	0.0079205370	0.0077838516
0	0.00000	400	0.0082623625	0.0082675266
0	0.00000	450	0.0080208874	0.0082433081
0	0.00000	500	0.0077118301	0.0077122116
0	0.00000	550	0.0075891113	0.0078071117
0	0.00000	600	0.0076574993	0.0078676033
0	0.00000	650	0.0080751181	0.0082080364
0	0.00000	700	0.0080044222	0.0078097153
0	0.00000	750	0.0084508657	0.0082994175
0	0.00000	800	0.0076288319	0.0081453753
0	0.00000	850	0.0080641699	0.0084568119
0	0.00000	900	0.0080888987	0.0082978868
0	0.00000	950	0.0078490114	0.0081356144
0	0.00000	1000	0.0076089811	0.0078671074
