delay	perdida	size	tiempo	iteraciones
0.00	0.00	125	0.0067891836	50
0.00	0.00	250	0.0061548996	50
0.00	0.00	375	0.0070531178	50
0.00	0.00	500	0.0064650154	50
0.00	0.00	625	0.0067970753	50
0.00	0.00	750	0.0067773151	50
0.00	0.00	875	0.0070020342	50
0.00	0.00	1000	0.0069222784	50
0.00	0.00	1125	0.0102254868	50
0.00	0.00	1250	0.0109672308	50
0.00	0.00	1375	0.0107366657	50
0.00	0.00	1500	0.0108046532	50
0.00	0.00	1625	0.0127755690	50
0.00	0.00	1750	0.0127112865	50
0.00	0.00	1875	0.0127576399	50
0.00	0.00	2000	0.0131169510	50
0.00	0.00	2125	0.0153844547	50
0.00	0.00	2250	0.0164570761	50
0.00	0.00	2375	0.0153104973	50
0.00	0.00	2500	0.0158041430	50
0.00	0.00	2625	0.0181952429	50
0.00	0.00	2750	0.0187685919	50
0.00	0.00	2875	0.0186955309	50
0.00	0.00	3000	0.0181500101	50
0.00	0.00	3125	0.0218976593	50
0.00	0.00	3250	0.0214270592	50
0.00	0.00	3375	0.0218112278	50
0.00	0.00	3500	0.0207198048	50
0.00	0.00	3625	0.0243220139	50
0.00	0.00	3750	0.0243865442	50
0.00	0.00	3875	0.0239480829	50
0.00	0.00	4000	0.0241386604	50
0.00	0.00	4125	0.0266143990	50
0.00	0.00	4250	0.0271388245	50
0.00	0.00	4375	0.0267815590	50
0.00	0.00	4500	0.0276269245	50
