delay	perdida	size	timeToServer	totalTime
0	0.60000	50	0.0071553516	0.0075260544
0	0.60000	100	0.0074373198	0.0077355433
0	0.60000	150	0.0085251713	0.0086589527
0	0.60000	200	0.0071822119	0.0073782969
0	0.60000	250	0.0072349405	0.0073166156
0	0.60000	300	0.0071339965	0.0074664736
0	0.60000	350	0.0075184465	0.0076766968
0	0.60000	400	0.0075253415	0.0073913240
0	0.60000	450	0.0078830886	0.0077344990
0	0.60000	500	0.0077963018	0.0076263499
0	0.60000	550	0.0077782178	0.0081256866
0	0.60000	600	0.0080388737	0.0082209897
0	0.60000	650	0.0076092196	0.0079156709
0	0.60000	700	0.0075763631	0.0077858639
0	0.60000	750	0.0076624870	0.0079698539
0	0.60000	800	0.0076818895	0.0081327224
0	0.60000	850	0.0077822232	0.0078287125
0	0.60000	900	0.0078048897	0.0080071402
0	0.60000	950	0.0081268811	0.0079449606
0	0.60000	1000	0.0077563858	0.0080515742
