delay	perdida	size	tiempo	iteraciones
0.04	0.00	100	0.0887754059	25
0.04	0.00	200	0.0884252167	25
0.04	0.00	300	0.0903572845	25
0.04	0.00	400	0.0922357845	25
0.04	0.00	500	0.0915031528	25
0.04	0.00	600	0.0912374878	25
0.04	0.00	700	0.0921498680	25
0.04	0.00	800	0.0924983025	25
0.04	0.00	900	0.0917439651	25
0.04	0.00	1000	0.0921877193	25
0.04	0.00	1100	0.1409745407	25
0.04	0.00	1200	0.1383219528	25
0.04	0.00	1300	0.1396761417	25
0.04	0.00	1400	0.1384477043	25
0.04	0.00	1500	0.1325576591	25
0.04	0.00	1600	0.1381443024	25
0.04	0.00	1700	0.1359827328	25
0.04	0.00	1800	0.1331149864	25
0.04	0.00	1900	0.1399772739	25
0.04	0.00	2000	0.1428078842	25
0.04	0.00	2100	0.1868342209	25
0.04	0.00	2200	0.1891449261	25
0.04	0.00	2300	0.1907595634	25
0.04	0.00	2400	0.1889560509	25
0.04	0.00	2500	0.1904077911	25
0.04	0.00	2600	0.1881763840	25
0.04	0.00	2700	0.1905312729	25
0.04	0.00	2800	0.1911967659	25
0.04	0.00	2900	0.1878063202	25
0.04	0.00	3000	0.1877806377	25
0.04	0.00	3100	0.2379849434	25
0.04	0.00	3200	0.2429100418	25
0.04	0.00	3300	0.2358992100	25
0.04	0.00	3400	0.2368623543	25
0.04	0.00	3500	0.2236918545	25
0.04	0.00	3600	0.2194691563	25
0.04	0.00	3700	0.2358386993	25
0.04	0.00	3800	0.2267220688	25
0.04	0.00	3900	0.2311170292	25
0.04	0.00	4000	0.2309726238	25
0.04	0.00	4100	0.2772739601	25
0.04	0.00	4200	0.2784296131	25
0.04	0.00	4300	0.2790732861	25
0.04	0.00	4400	0.2783930588	25
0.04	0.00	4500	0.2732098103	25
0.04	0.00	4600	0.2716603947	25
0.04	0.00	4700	0.2730208492	25
0.04	0.00	4800	0.2661622429	25
0.04	0.00	4900	0.2772098351	25
