delay	perdida	size	tiempo	iteraciones
0.00	0.30	100	0.0065263796	50
0.00	0.30	200	0.0066546059	50
0.00	0.30	300	0.0066996622	50
0.00	0.30	400	0.0061600924	50
0.00	0.30	500	0.0059104395	50
0.00	0.30	600	0.0067309809	50
0.00	0.30	700	0.0065027571	50
0.00	0.30	800	0.0058860016	50
0.00	0.30	900	0.0069624519	50
0.00	0.30	1000	0.0067088079	50
0.00	0.30	1100	0.0102878141	50
0.00	0.30	1200	0.0100302124	50
0.00	0.30	1300	0.0105552673	50
0.00	0.30	1400	0.0108760357	50
0.00	0.30	1500	0.0110725069	50
0.00	0.30	1600	0.0108165169	50
0.00	0.30	1700	0.0111924028	50
0.00	0.30	1800	0.0106875181	50
0.00	0.30	1900	0.0109147596	50
0.00	0.30	2000	0.0113333559	50
0.00	0.30	2100	0.0150072289	50
0.00	0.30	2200	0.0147412395	50
0.00	0.30	2300	0.0146495914	50
0.00	0.30	2400	0.0144500017	50
0.00	0.30	2500	0.0146938658	50
0.00	0.30	2600	0.0147543335	50
0.00	0.30	2700	0.0156220531	50
0.00	0.30	2800	0.0147919607	50
0.00	0.30	2900	0.0151185799	50
0.00	0.30	3000	0.0163265848	50
0.00	0.30	3100	0.0186814451	50
0.00	0.30	3200	0.0187539053	50
0.00	0.30	3300	0.0186531210	50
0.00	0.30	3400	0.0195474529	50
0.00	0.30	3500	0.0192638636	50
0.00	0.30	3600	0.0196276951	50
0.00	0.30	3700	0.0189924812	50
0.00	0.30	3800	0.0193667459	50
0.00	0.30	3900	0.0197025299	50
0.00	0.30	4000	0.0187982416	50
0.00	0.30	4100	0.0234634066	50
0.00	0.30	4200	0.0224389839	50
0.00	0.30	4300	0.0230913544	50
0.00	0.30	4400	0.0232693338	50
0.00	0.30	4500	0.0228677416	50
0.00	0.30	4600	0.0233610821	50
0.00	0.30	4700	0.0234939861	50
0.00	0.30	4800	0.0236352777	50
0.00	0.30	4900	0.0233124161	50
