delay	perdida	size	tiempo	iteraciones
0.10	0.00	100	0.2110884762	50
0.10	0.00	200	0.2111868143	50
0.10	0.00	300	0.2098682213	50
0.10	0.00	400	0.2103678322	50
0.10	0.00	500	0.2104491472	50
0.10	0.00	600	0.2112041759	50
0.10	0.00	700	0.2127072144	50
0.10	0.00	800	0.2099872208	50
0.10	0.00	900	0.2101498175	50
0.10	0.00	1000	0.2098991489	50
0.10	0.00	1100	0.3172187281	50
0.10	0.00	1200	0.3154578018	50
0.10	0.00	1300	0.3152298689	50
0.10	0.00	1400	0.3148329878	50
0.10	0.00	1500	0.3137150764	50
0.10	0.00	1600	0.3878373003	50
0.10	0.00	1700	0.4017013168	50
0.10	0.00	1800	0.3894871044	50
0.10	0.00	1900	0.3877942038	50
0.10	0.00	2000	0.3864357567	50
0.10	0.00	2100	0.4910175085	50
0.10	0.00	2200	0.4908466339	50
0.10	0.00	2300	0.4898522377	50
0.10	0.00	2400	0.4989871597	50
0.10	0.00	2500	0.4959815884	50
0.10	0.00	2600	0.6029343653	50
0.10	0.00	2700	0.6003814507	50
0.10	0.00	2800	0.5783343601	50
0.10	0.00	2900	0.6033183670	50
0.10	0.00	3000	0.5911031723	50
0.10	0.00	3100	0.7183080721	50
0.10	0.00	3200	0.7119373417	50
0.10	0.00	3300	0.6978281784	50
0.10	0.00	3400	0.6935333872	50
0.10	0.00	3500	0.6866097069	50
0.10	0.00	3600	0.8133574247	50
0.10	0.00	3700	0.8191738129	50
0.10	0.00	3800	0.7879008293	50
0.10	0.00	3900	0.8236003637	50
0.10	0.00	4000	0.8082665491	50
0.10	0.00	4100	0.8988053131	50
0.10	0.00	4200	0.8933599091	50
0.10	0.00	4300	0.9132713366	50
0.10	0.00	4400	0.8992253304	50
0.10	0.00	4500	0.9185836458	50
0.10	0.00	4600	0.8821775246	50
0.10	0.00	4700	1.0223026562	50
0.10	0.00	4800	1.0225733757	50
0.10	0.00	4900	1.0106262445	50
