delay	perdida	size	timeToServer	totalTime
0	0.00000	50	0.1124070263	0.1127019262
0	0.00000	100	0.1111664104	0.1114698362
0	0.00000	150	0.1127709007	0.1128137922
0	0.00000	200	0.1123610878	0.1125160265
0	0.00000	250	0.1109324694	0.1111292648
0	0.00000	300	0.1111094427	0.1113077307
0	0.00000	350	0.1117894363	0.1107898998
0	0.00000	400	0.1116231203	0.1121555424
0	0.00000	450	0.1105541277	0.1112557793
0	0.00000	500	0.1118673611	0.1113971567
0	0.00000	550	0.1109336901	0.1111674070
0	0.00000	600	0.1113632011	0.1112999201
0	0.00000	650	0.1129792118	0.1129515123
0	0.00000	700	0.1110833025	0.1116974354
0	0.00000	750	0.1122633266	0.1123877144
0	0.00000	800	0.1114784908	0.1114526320
0	0.00000	850	0.1106234169	0.1110242653
0	0.00000	900	0.1114895248	0.1109357738
0	0.00000	950	0.1102839088	0.1099545383
0	0.00000	1000	0.1110052300	0.1108589029
